vid_path,id_label,gloss,label
clips\31\17.MOV,31,FEBRUARY,FEBRUARY
clips\56\31.MOV,56,GRANDFATHER,GRANDFATHER
clips\27\30.MOV,27,EIGHT,EIGHT
videos/42/27.mp4,42,TRIP EXCITING/JOYFUL,THE TRIP IS EXCITING.
clips\3\37.MOV,3,HELLO,HELLO
clips\13\17.MOV,13,NOT KNOW,DO NOT KNOW
clips\91\28.MOV,91,RICE,RICE
clips\95\20.MOV,95,HOT,HOT
clips\56\21.MOV,56,GRANDFATHER,GRANDFATHER
clips\36\18.MOV,36,JULY,JULY
clips\31\43.MOV,31,FEBRUARY,FEBRUARY
clips\11\49.MOV,11,NOT UNDERSTAND,DO NOT UNDERSTAND
clips\70\38.MOV,70,DEAF BLIND,DEAF BLIND
clips\9\15.MOV,9,SEE YOU TOMORROW,SEE YOU TOMORROW
clips\33\39.MOV,33,APRIL,APRIL
clips\16\27.MOV,16,WRONG,WRONG
clips\77\9.MOV,77,WHITE,WHITE
videos/41/29.mp4,41,THANK YOU,THANK YOU.
clips\6\26.MOV,6,NICE MEET,NICE TO MEET YOU
clips\73\20.MOV,73,GREEN,GREEN
clips\42\31.MOV,42,MONDAY,MONDAY
videos/15/2.mp4,15,GOOD NOON,GOOD NOON!
clips\39\44.MOV,39,OCTOBER,OCTOBER
videos/47/25.mp4,47,DOG DIE,MY DOG DIED.
clips\94\4.MOV,94,CRAB,CRAB
clips\2\17.MOV,2,GOOD EVENING,GOOD EVENING
videos/7/16.mp4,7,YOU SICK,YOU ARE SICK!
videos/7/36.mp4,7,YOU SICK,YOU ARE SICK!
videos/31/34.mp4,31,HATE,I HATE YOU!
clips\18\16.MOV,18,SLOW,SLOW
clips\90\51.MOV,90,SPAGHETTI,SPAGHETTI
clips\22\51.MOV,22,THREE,THREE
clips\43\10.MOV,43,TUESDAY,TUESDAY
clips\1\6.MOV,1,GOOD AFTERNOON,GOOD AFTERNOON
clips\48\7.MOV,48,SUNDAY,SUNDAY
clips\81\48.MOV,81,PINK,PINK
clips\19\10.MOV,19,FAST,FAST
videos/3/24.mp4,3,NEW FIREWORKS,IS IT NEW YEAR?
clips\22\49.MOV,22,THREE,THREE
videos/41/25.mp4,41,THANK YOU,THANK YOU.
clips\86\35.MOV,86,EGG,EGG
videos/18/3.mp4,18,NOT TIRED,I AM NOT TIRED.
clips\10\19.MOV,10,UNDERSTAND,UNDERSTAND
clips\15\6.MOV,15,YES,YES
clips\70\29.MOV,70,DEAF BLIND,DEAF BLIND
clips\7\6.MOV,7,THANK YOU,THANK YOU
clips\76\51.MOV,76,BLACK,BLACK
clips\4\17.MOV,4,YOU HOW,HOW ARE YOU
clips\103\17.MOV,103,SUGAR,SUGAR
clips\79\27.MOV,79,ORANGE,ORANGE
clips\77\28.MOV,77,WHITE,WHITE
clips\66\11.MOV,66,DEAF,DEAF
clips\39\30.MOV,39,OCTOBER,OCTOBER
clips\43\46.MOV,43,TUESDAY,TUESDAY
clips\9\12.MOV,9,SEE YOU TOMORROW,SEE YOU TOMORROW
clips\59\21.MOV,59,AUNTIE,AUNTIE
videos/40/18.mp4,40,GHOST,I SAW A GHOST.
clips\85\18.MOV,85,BREAD,BREAD
clips\56\34.MOV,56,GRANDFATHER,GRANDFATHER
clips\47\19.MOV,47,SATURDAY,SATURDAY
videos/32/30.mp4,32,DISGUSTING,YOU ARE DISGUSTING!
videos/11/24.mp4,11,JOHN LIKE MARY,DOES JOHN LIKE MARY?
clips\102\0.MOV,102,WINE,WINE
clips\38\22.MOV,38,SEPTEMBER,SEPTEMBER
clips\60\3.MOV,60,COUSIN,COUSIN
videos/14/26.mp4,14,GOOD MORNING,GOOD MORNING!
clips\33\33.MOV,33,APRIL,APRIL
clips\19\36.MOV,19,FAST,FAST
videos/1/4.mp4,1,JOHN LIKES MARY,JOHN LIKES MARY.
clips\52\43.MOV,52,FATHER,FATHER
clips\39\43.MOV,39,OCTOBER,OCTOBER
clips\54\10.MOV,54,SON,SON
clips\34\11.MOV,34,MAY,MAY
clips\2\29.MOV,2,GOOD EVENING,GOOD EVENING
clips\77\13.MOV,77,WHITE,WHITE
clips\82\6.MOV,82,VIOLET,VIOLET
clips\3\16.MOV,3,HELLO,HELLO
clips\35\21.MOV,35,JUNE,JUNE
clips\69\42.MOV,69,BLIND,BLIND
clips\29\49.MOV,29,TEN,TEN
clips\98\41.MOV,98,MILK,MILK
clips\69\3.MOV,69,BLIND,BLIND
clips\9\8.MOV,9,SEE YOU TOMORROW,SEE YOU TOMORROW
clips\101\41.MOV,101,BEER,BEER
videos/40/11.mp4,40,GHOST,I SAW A GHOST.
clips\82\1.MOV,82,VIOLET,VIOLET
videos/39/31.mp4,39,SHOCKED,I AM SHOCKED!
clips\64\22.MOV,64,MAN,MAN
clips\11\13.MOV,11,NOT UNDERSTAND,DO NOT UNDERSTAND
clips\20\30.MOV,20,ONE,ONE
clips\3\34.MOV,3,HELLO,HELLO
clips\40\46.MOV,40,NOVEMBER,NOVEMBER
clips\33\11.MOV,33,APRIL,APRIL
videos/41/5.mp4,41,THANK YOU,THANK YOU.
videos/28/9.mp4,28,MUCH TIRED,I AM SO TIRED.
clips\46\33.MOV,46,FRIDAY,FRIDAY
clips\74\16.MOV,74,RED,RED
clips\79\23.MOV,79,ORANGE,ORANGE
clips\14\47.MOV,14,NO,NO
clips\13\33.MOV,13,NOT KNOW,DO NOT KNOW
clips\69\26.MOV,69,BLIND,BLIND
clips\38\19.MOV,38,SEPTEMBER,SEPTEMBER
clips\19\20.MOV,19,FAST,FAST
clips\89\37.MOV,89,CHICKEN,CHICKEN
videos/39/23.mp4,39,SHOCKED,I AM SHOCKED!
videos/2/5.mp4,2,YOU SICK,YOU ARE SICK.
clips\93\40.MOV,93,SHRIMP,SHRIMP
clips\38\36.MOV,38,SEPTEMBER,SEPTEMBER
clips\0\22.MOV,0,GOOD MORNING,GOOD MORNING
clips\44\31.MOV,44,WEDNESDAY,WEDNESDAY
clips\47\36.MOV,47,SATURDAY,SATURDAY
clips\102\3.MOV,102,WINE,WINE
clips\84\45.MOV,84,DARK,DARK
videos/5/30.mp4,5,AGE YOU HOW MUCH,HOW OLD ARE YOU?
clips\30\13.MOV,30,JANUARY,JANUARY
videos/27/15.mp4,27,LIKE YOU VERY MUCH,I LIKE YOU VERY MUCH.
clips\52\27.MOV,52,FATHER,FATHER
clips\95\42.MOV,95,HOT,HOT
clips\36\22.MOV,36,JULY,JULY
videos/44/19.mp4,44,PROUD YOU,I AM PROUD OF YOU!
clips\5\30.MOV,5,FINE,I AM FINE
clips\88\23.MOV,88,MEAT,MEAT
clips\2\25.MOV,2,GOOD EVENING,GOOD EVENING
clips\30\32.MOV,30,JANUARY,JANUARY
clips\29\24.MOV,29,TEN,TEN
clips\11\35.MOV,11,NOT UNDERSTAND,DO NOT UNDERSTAND
videos/19/19.mp4,19,YOU NOT SLOW,YOU ARE NOT SLOW.
clips\7\25.MOV,7,THANK YOU,THANK YOU
clips\88\47.MOV,88,MEAT,MEAT
clips\10\27.MOV,10,UNDERSTAND,UNDERSTAND
videos/31/27.mp4,31,HATE,I HATE YOU!
clips\34\13.MOV,34,MAY,MAY
clips\36\38.MOV,36,JULY,JULY
clips\39\1.MOV,39,OCTOBER,OCTOBER
clips\82\22.MOV,82,VIOLET,VIOLET
clips\31\48.MOV,31,FEBRUARY,FEBRUARY
videos/19/21.mp4,19,YOU NOT SLOW,YOU ARE NOT SLOW.
clips\90\31.MOV,90,SPAGHETTI,SPAGHETTI
clips\36\37.MOV,36,JULY,JULY
videos/43/19.mp4,43,SHOW AMAZING,THE SHOW IS AMAZING.
videos/44/33.mp4,44,PROUD YOU,I AM PROUD OF YOU!
clips\25\9.MOV,25,SIX,SIX
clips\66\8.MOV,66,DEAF,DEAF
videos/3/17.mp4,3,NEW FIREWORKS,IS IT NEW YEAR?
clips\17\40.MOV,17,CORRECT,CORRECT
clips\37\30.MOV,37,AUGUST,AUGUST
clips\29\13.MOV,29,TEN,TEN
clips\25\44.MOV,25,SIX,SIX
clips\75\32.MOV,75,BROWN,BROWN
clips\72\32.MOV,72,BLUE,BLUE
clips\8\43.MOV,8,WELCOME,YOU ARE WELCOME
clips\50\16.MOV,50,TOMORROW,TOMORROW
clips\27\23.MOV,27,EIGHT,EIGHT
clips\79\36.MOV,79,ORANGE,ORANGE
videos/24/31.mp4,24,SLOW,YOU ARE SLOW.
videos/1/33.mp4,1,JOHN LIKES MARY,JOHN LIKES MARY.
clips\20\26.MOV,20,ONE,ONE
videos/7/7.mp4,7,YOU SICK,YOU ARE SICK!
clips\76\16.MOV,76,BLACK,BLACK
videos/37/27.mp4,37,NERVOUS,I AM NERVOUS.
videos/10/9.mp4,10,OLD 12 YEAR,I AM 12 YEARS OLD.
clips\80\28.MOV,80,GRAY,GRAY
clips\99\32.MOV,99,COFFEE,COFFEE
clips\44\21.MOV,44,WEDNESDAY,WEDNESDAY
videos/29/36.mp4,29,YOU MUCH SLOW / MUCH SLOW,YOU ARE SO SLOW!
clips\84\26.MOV,84,DARK,DARK
clips\9\42.MOV,9,SEE YOU TOMORROW,SEE YOU TOMORROW
clips\98\13.MOV,98,MILK,MILK
clips\60\7.MOV,60,COUSIN,COUSIN
clips\103\32.MOV,103,SUGAR,SUGAR
clips\5\15.MOV,5,FINE,I AM FINE
clips\97\49.MOV,97,JUICE,JUICE
clips\38\12.MOV,38,SEPTEMBER,SEPTEMBER
clips\36\17.MOV,36,JULY,JULY
clips\76\50.MOV,76,BLACK,BLACK
clips\26\6.MOV,26,SEVEN,SEVEN
clips\94\37.MOV,94,CRAB,CRAB
clips\71\36.MOV,71,MARRIED,MARRIED
videos/1/21.mp4,1,JOHN LIKES MARY,JOHN LIKES MARY.
clips\40\42.MOV,40,NOVEMBER,NOVEMBER
clips\62\36.MOV,62,BOY,BOY
clips\78\33.MOV,78,YELLOW,YELLOW
clips\29\20.MOV,29,TEN,TEN
clips\44\9.MOV,44,WEDNESDAY,WEDNESDAY
videos/19/33.mp4,19,YOU NOT SLOW,YOU ARE NOT SLOW.
clips\46\1.MOV,46,FRIDAY,FRIDAY
clips\26\15.MOV,26,SEVEN,SEVEN
clips\97\50.MOV,97,JUICE,JUICE
clips\27\46.MOV,27,EIGHT,EIGHT
clips\10\34.MOV,10,UNDERSTAND,UNDERSTAND
clips\11\12.MOV,11,NOT UNDERSTAND,DO NOT UNDERSTAND
clips\45\44.MOV,45,THURSDAY,THURSDAY
clips\18\8.MOV,18,SLOW,SLOW
clips\79\7.MOV,79,ORANGE,ORANGE
videos/50/29.mp4,50,FAIL EXAM,I FAILED THE EXAM.
videos/42/11.mp4,42,TRIP EXCITING/JOYFUL,THE TRIP IS EXCITING.
clips\34\12.MOV,34,MAY,MAY
clips\75\51.MOV,75,BROWN,BROWN
clips\20\0.MOV,20,ONE,ONE
clips\44\23.MOV,44,WEDNESDAY,WEDNESDAY
clips\12\1.MOV,12,KNOW,KNOW
clips\83\28.MOV,83,LIGHT,LIGHT
clips\85\40.MOV,85,BREAD,BREAD
videos/22/30.mp4,22,LIKE YOU,I LIKE YOU.
videos/16/33.mp4,16,HEADACHE NOT,MY HEAD IS NOT PAINFUL.
clips\25\35.MOV,25,SIX,SIX
clips\16\17.MOV,16,WRONG,WRONG
clips\88\17.MOV,88,MEAT,MEAT
clips\43\44.MOV,43,TUESDAY,TUESDAY
videos/24/21.mp4,24,SLOW,YOU ARE SLOW.
clips\27\28.MOV,27,EIGHT,EIGHT
clips\18\30.MOV,18,SLOW,SLOW
clips\47\26.MOV,47,SATURDAY,SATURDAY
clips\28\13.MOV,28,NINE,NINE
clips\95\45.MOV,95,HOT,HOT
clips\29\45.MOV,29,TEN,TEN
videos/50/22.mp4,50,FAIL EXAM,I FAILED THE EXAM.
videos/11/18.mp4,11,JOHN LIKE MARY,DOES JOHN LIKE MARY?
clips\6\31.MOV,6,NICE MEET,NICE TO MEET YOU
clips\98\3.MOV,98,MILK,MILK
videos/46/24.mp4,46,SORRY,I AM SORRY.
clips\48\6.MOV,48,SUNDAY,SUNDAY
clips\25\36.MOV,25,SIX,SIX
clips\55\46.MOV,55,DAUGHTER,DAUGHTER
videos/22/20.mp4,22,LIKE YOU,I LIKE YOU.
videos/21/23.mp4,21,HEADACHE,MY HEAD IS PAINFUL.
clips\63\45.MOV,63,GIRL,GIRL
clips\17\12.MOV,17,CORRECT,CORRECT
clips\40\48.MOV,40,NOVEMBER,NOVEMBER
clips\73\25.MOV,73,GREEN,GREEN
clips\39\4.MOV,39,OCTOBER,OCTOBER
clips\74\48.MOV,74,RED,RED
clips\58\5.MOV,58,UNCLE,UNCLE
clips\39\50.MOV,39,OCTOBER,OCTOBER
clips\87\23.MOV,87,FISH,FISH
clips\7\12.MOV,7,THANK YOU,THANK YOU
clips\33\14.MOV,33,APRIL,APRIL
clips\61\35.MOV,61,PARENTS,PARENTS
clips\86\24.MOV,86,EGG,EGG
clips\19\50.MOV,19,FAST,FAST
clips\95\40.MOV,95,HOT,HOT
clips\94\9.MOV,94,CRAB,CRAB
videos/10/36.mp4,10,OLD 12 YEAR,I AM 12 YEARS OLD.
clips\48\25.MOV,48,SUNDAY,SUNDAY
clips\13\36.MOV,13,NOT KNOW,DO NOT KNOW
videos/7/6.mp4,7,YOU SICK,YOU ARE SICK!
videos/3/8.mp4,3,NEW FIREWORKS,IS IT NEW YEAR?
clips\16\36.MOV,16,WRONG,WRONG
videos/18/17.mp4,18,NOT TIRED,I AM NOT TIRED.
videos/1/24.mp4,1,JOHN LIKES MARY,JOHN LIKES MARY.
videos/28/6.mp4,28,MUCH TIRED,I AM SO TIRED.
clips\2\22.MOV,2,GOOD EVENING,GOOD EVENING
clips\96\34.MOV,96,COLD,COLD
clips\70\47.MOV,70,DEAF BLIND,DEAF BLIND
videos/15/27.mp4,15,GOOD NOON,GOOD NOON!
clips\27\51.MOV,27,EIGHT,EIGHT
clips\36\42.MOV,36,JULY,JULY
clips\73\19.MOV,73,GREEN,GREEN
videos/27/36.mp4,27,LIKE YOU VERY MUCH,I LIKE YOU VERY MUCH.
videos/49/23.mp4,49,HEARTACHE,I AM HEARTBROKEN.
videos/37/15.mp4,37,NERVOUS,I AM NERVOUS.
clips\86\44.MOV,86,EGG,EGG
clips\13\28.MOV,13,NOT KNOW,DO NOT KNOW
clips\99\6.MOV,99,COFFEE,COFFEE
clips\27\4.MOV,27,EIGHT,EIGHT
clips\69\37.MOV,69,BLIND,BLIND
clips\92\28.MOV,92,LONGANISA,LONGANISA
clips\91\33.MOV,91,RICE,RICE
videos/38/14.mp4,38,WORRY,I AM WORRIED.
clips\21\49.MOV,21,TWO,TWO
clips\9\41.MOV,9,SEE YOU TOMORROW,SEE YOU TOMORROW
clips\23\41.MOV,23,FOUR,FOUR
videos/43/12.mp4,43,SHOW AMAZING,THE SHOW IS AMAZING.
clips\29\7.MOV,29,TEN,TEN
videos/28/4.mp4,28,MUCH TIRED,I AM SO TIRED.
clips\81\40.MOV,81,PINK,PINK
videos/39/6.mp4,39,SHOCKED,I AM SHOCKED!
clips\37\49.MOV,37,AUGUST,AUGUST
videos/22/4.mp4,22,LIKE YOU,I LIKE YOU.
clips\95\8.MOV,95,HOT,HOT
videos/14/17.mp4,14,GOOD MORNING,GOOD MORNING!
clips\101\31.MOV,101,BEER,BEER
clips\47\10.MOV,47,SATURDAY,SATURDAY
clips\59\16.MOV,59,AUNTIE,AUNTIE
clips\20\17.MOV,20,ONE,ONE
videos/41/12.mp4,41,THANK YOU,THANK YOU.
clips\77\26.MOV,77,WHITE,WHITE
videos/42/2.mp4,42,TRIP EXCITING/JOYFUL,THE TRIP IS EXCITING.
clips\101\3.MOV,101,BEER,BEER
clips\12\10.MOV,12,KNOW,KNOW
clips\3\2.MOV,3,HELLO,HELLO
videos/10/13.mp4,10,OLD 12 YEAR,I AM 12 YEARS OLD.
videos/26/16.mp4,26,HEADACHE VERY,MY HEAD IS VERY PAINFUL.
clips\45\14.MOV,45,THURSDAY,THURSDAY
clips\22\20.MOV,22,THREE,THREE
videos/48/34.mp4,48,ALONE,I AM ALONE.
clips\10\44.MOV,10,UNDERSTAND,UNDERSTAND
clips\69\12.MOV,69,BLIND,BLIND
clips\48\20.MOV,48,SUNDAY,SUNDAY
clips\103\4.MOV,103,SUGAR,SUGAR
clips\48\23.MOV,48,SUNDAY,SUNDAY
videos/43/5.mp4,43,SHOW AMAZING,THE SHOW IS AMAZING.
videos/37/31.mp4,37,NERVOUS,I AM NERVOUS.
clips\0\8.MOV,0,GOOD MORNING,GOOD MORNING
videos/37/2.mp4,37,NERVOUS,I AM NERVOUS.
videos/45/19.mp4,45,CLASS/GROUP WIN,OUR TEAM WON!
clips\37\6.MOV,37,AUGUST,AUGUST
videos/27/26.mp4,27,LIKE YOU VERY MUCH,I LIKE YOU VERY MUCH.
clips\66\26.MOV,66,DEAF,DEAF
clips\44\8.MOV,44,WEDNESDAY,WEDNESDAY
clips\14\31.MOV,14,NO,NO
videos/2/24.mp4,2,YOU SICK,YOU ARE SICK.
videos/48/12.mp4,48,ALONE,I AM ALONE.
videos/21/15.mp4,21,HEADACHE,MY HEAD IS PAINFUL.
clips\23\18.MOV,23,FOUR,FOUR
videos/26/35.mp4,26,HEADACHE VERY,MY HEAD IS VERY PAINFUL.
clips\3\20.MOV,3,HELLO,HELLO
clips\84\13.MOV,84,DARK,DARK
clips\64\14.MOV,64,MAN,MAN
clips\104\15.MOV,104,SUGAR NONE,NO SUGAR
clips\66\50.MOV,66,DEAF,DEAF
videos/14/5.mp4,14,GOOD MORNING,GOOD MORNING!
clips\60\9.MOV,60,COUSIN,COUSIN
clips\23\11.MOV,23,FOUR,FOUR
clips\57\37.MOV,57,GRANDMOTHER,GRANDMOTHER
clips\18\20.MOV,18,SLOW,SLOW
clips\103\22.MOV,103,SUGAR,SUGAR
clips\1\35.MOV,1,GOOD AFTERNOON,GOOD AFTERNOON
clips\81\15.MOV,81,PINK,PINK
videos/20/13.mp4,20,NOT HARD,THIS IS NOT HARD.
clips\63\37.MOV,63,GIRL,GIRL
clips\32\10.MOV,32,MARCH,MARCH
clips\46\48.MOV,46,FRIDAY,FRIDAY
clips\73\1.MOV,73,GREEN,GREEN
clips\87\35.MOV,87,FISH,FISH
clips\82\0.MOV,82,VIOLET,VIOLET
clips\57\21.MOV,57,GRANDMOTHER,GRANDMOTHER
clips\14\34.MOV,14,NO,NO
clips\9\22.MOV,9,SEE YOU TOMORROW,SEE YOU TOMORROW
videos/2/3.mp4,2,YOU SICK,YOU ARE SICK.
clips\104\16.MOV,104,SUGAR NONE,NO SUGAR
videos/47/8.mp4,47,DOG DIE,MY DOG DIED.
clips\81\27.MOV,81,PINK,PINK
clips\34\47.MOV,34,MAY,MAY
clips\16\6.MOV,16,WRONG,WRONG
clips\65\27.MOV,65,WOMAN,WOMAN
videos/4/29.mp4,4,YOU HOW,HOW ARE YOU?
clips\6\39.MOV,6,NICE MEET,NICE TO MEET YOU
clips\52\23.MOV,52,FATHER,FATHER
videos/10/27.mp4,10,OLD 12 YEAR,I AM 12 YEARS OLD.
clips\18\35.MOV,18,SLOW,SLOW
clips\48\48.MOV,48,SUNDAY,SUNDAY
clips\1\38.MOV,1,GOOD AFTERNOON,GOOD AFTERNOON
clips\59\12.MOV,59,AUNTIE,AUNTIE
clips\15\39.MOV,15,YES,YES
clips\16\35.MOV,16,WRONG,WRONG
clips\66\47.MOV,66,DEAF,DEAF
videos/44/4.mp4,44,PROUD YOU,I AM PROUD OF YOU!
clips\69\15.MOV,69,BLIND,BLIND
clips\12\28.MOV,12,KNOW,KNOW
clips\90\50.MOV,90,SPAGHETTI,SPAGHETTI
clips\54\29.MOV,54,SON,SON
clips\65\46.MOV,65,WOMAN,WOMAN
clips\5\37.MOV,5,FINE,I AM FINE
videos/50/7.mp4,50,FAIL EXAM,I FAILED THE EXAM.
clips\63\50.MOV,63,GIRL,GIRL
clips\54\26.MOV,54,SON,SON
clips\73\2.MOV,73,GREEN,GREEN
videos/27/6.mp4,27,LIKE YOU VERY MUCH,I LIKE YOU VERY MUCH.
videos/24/8.mp4,24,SLOW,YOU ARE SLOW.
clips\94\44.MOV,94,CRAB,CRAB
clips\45\12.MOV,45,THURSDAY,THURSDAY
clips\83\13.MOV,83,LIGHT,LIGHT
clips\11\38.MOV,11,NOT UNDERSTAND,DO NOT UNDERSTAND
clips\87\12.MOV,87,FISH,FISH
clips\65\5.MOV,65,WOMAN,WOMAN
clips\29\50.MOV,29,TEN,TEN
clips\61\50.MOV,61,PARENTS,PARENTS
clips\25\8.MOV,25,SIX,SIX
videos/31/15.mp4,31,HATE,I HATE YOU!
clips\76\49.MOV,76,BLACK,BLACK
clips\39\46.MOV,39,OCTOBER,OCTOBER
clips\68\44.MOV,68,WHEELCHAIR,PERSON IN A WHEELCHAIR
clips\35\9.MOV,35,JUNE,JUNE
clips\68\21.MOV,68,WHEELCHAIR,PERSON IN A WHEELCHAIR
clips\56\35.MOV,56,GRANDFATHER,GRANDFATHER
clips\97\11.MOV,97,JUICE,JUICE
videos/32/6.mp4,32,DISGUSTING,YOU ARE DISGUSTING!
clips\78\35.MOV,78,YELLOW,YELLOW
videos/49/12.mp4,49,HEARTACHE,I AM HEARTBROKEN.
clips\41\1.MOV,41,DECEMBER,DECEMBER
clips\42\0.MOV,42,MONDAY,MONDAY
clips\51\30.MOV,51,YESTERDAY,YESTERDAY
clips\103\33.MOV,103,SUGAR,SUGAR
clips\26\51.MOV,26,SEVEN,SEVEN
clips\54\12.MOV,54,SON,SON
clips\94\47.MOV,94,CRAB,CRAB
clips\56\38.MOV,56,GRANDFATHER,GRANDFATHER
clips\82\4.MOV,82,VIOLET,VIOLET
videos/26/26.mp4,26,HEADACHE VERY,MY HEAD IS VERY PAINFUL.
clips\9\40.MOV,9,SEE YOU TOMORROW,SEE YOU TOMORROW
clips\59\9.MOV,59,AUNTIE,AUNTIE
clips\4\1.MOV,4,YOU HOW,HOW ARE YOU
clips\0\23.MOV,0,GOOD MORNING,GOOD MORNING
videos/30/32.mp4,30,MUCH HARD,THIS IS VERY HARD.
clips\15\20.MOV,15,YES,YES
clips\29\4.MOV,29,TEN,TEN
clips\61\1.MOV,61,PARENTS,PARENTS
clips\96\50.MOV,96,COLD,COLD
clips\5\43.MOV,5,FINE,I AM FINE
clips\69\35.MOV,69,BLIND,BLIND
videos/42/3.mp4,42,TRIP EXCITING/JOYFUL,THE TRIP IS EXCITING.
videos/4/11.mp4,4,YOU HOW,HOW ARE YOU?
videos/3/1.mp4,3,NEW FIREWORKS,IS IT NEW YEAR?
videos/25/9.mp4,25,HARD,THIS IS HARD.
clips\69\0.MOV,69,BLIND,BLIND
clips\103\42.MOV,103,SUGAR,SUGAR
clips\55\10.MOV,55,DAUGHTER,DAUGHTER
clips\89\46.MOV,89,CHICKEN,CHICKEN
clips\54\0.MOV,54,SON,SON
videos/5/36.mp4,5,AGE YOU HOW MUCH,HOW OLD ARE YOU?
clips\74\21.MOV,74,RED,RED
clips\98\36.MOV,98,MILK,MILK
clips\4\9.MOV,4,YOU HOW,HOW ARE YOU
clips\13\18.MOV,13,NOT KNOW,DO NOT KNOW
videos/32/25.mp4,32,DISGUSTING,YOU ARE DISGUSTING!
clips\79\45.MOV,79,ORANGE,ORANGE
clips\39\33.MOV,39,OCTOBER,OCTOBER
clips\41\7.MOV,41,DECEMBER,DECEMBER
clips\58\52.MOV,58,UNCLE,UNCLE
videos/25/2.mp4,25,HARD,THIS IS HARD.
clips\2\16.MOV,2,GOOD EVENING,GOOD EVENING
clips\104\42.MOV,104,SUGAR NONE,NO SUGAR
clips\7\40.MOV,7,THANK YOU,THANK YOU
clips\37\17.MOV,37,AUGUST,AUGUST
clips\31\39.MOV,31,FEBRUARY,FEBRUARY
clips\40\23.MOV,40,NOVEMBER,NOVEMBER
clips\40\33.MOV,40,NOVEMBER,NOVEMBER
clips\51\5.MOV,51,YESTERDAY,YESTERDAY
videos/45/31.mp4,45,CLASS/GROUP WIN,OUR TEAM WON!
videos/32/2.mp4,32,DISGUSTING,YOU ARE DISGUSTING!
clips\34\26.MOV,34,MAY,MAY
videos/1/3.mp4,1,JOHN LIKES MARY,JOHN LIKES MARY.
clips\30\1.MOV,30,JANUARY,JANUARY
clips\49\48.MOV,49,TODAY,TODAY
clips\56\33.MOV,56,GRANDFATHER,GRANDFATHER
clips\61\42.MOV,61,PARENTS,PARENTS
clips\52\29.MOV,52,FATHER,FATHER
clips\100\10.MOV,100,TEA,TEA
clips\52\5.MOV,52,FATHER,FATHER
clips\44\51.MOV,44,WEDNESDAY,WEDNESDAY
clips\29\33.MOV,29,TEN,TEN
clips\75\31.MOV,75,BROWN,BROWN
clips\100\34.MOV,100,TEA,TEA
videos/11/34.mp4,11,JOHN LIKE MARY,DOES JOHN LIKE MARY?
clips\16\48.MOV,16,WRONG,WRONG
videos/16/9.mp4,16,HEADACHE NOT,MY HEAD IS NOT PAINFUL.
videos/27/21.mp4,27,LIKE YOU VERY MUCH,I LIKE YOU VERY MUCH.
clips\24\29.MOV,24,FIVE,FIVE
clips\90\26.MOV,90,SPAGHETTI,SPAGHETTI
clips\10\36.MOV,10,UNDERSTAND,UNDERSTAND
clips\54\8.MOV,54,SON,SON
videos/21/4.mp4,21,HEADACHE,MY HEAD IS PAINFUL.
videos/47/29.mp4,47,DOG DIE,MY DOG DIED.
clips\22\29.MOV,22,THREE,THREE
clips\71\46.MOV,71,MARRIED,MARRIED
videos/18/16.mp4,18,NOT TIRED,I AM NOT TIRED.
clips\61\18.MOV,61,PARENTS,PARENTS
